cities.csv,City,Country,Date,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
421,Riohacha,CO,1534713796,79.92,11.54,-72.91,100,44,4.38
423,Lixourion,GR,1534708200,82.4,38.2,20.43,61,0,5.82
424,Ketchikan,US,1534712160,67.95,55.34,-131.65,46,1,14.99
425,North Bend,US,1534710900,63.5,43.41,-124.22,72,40,6.93
426,Cockburn Town,TC,1534713798,83.88,21.46,-71.14,98,0,13
427,Poso,ID,1534713644,76.32,-1.4,120.75,100,0,8.63
428,Nouakchott,MR,1534713798,80.1,18.08,-15.98,100,8,15.9
429,Vredendal,ZA,1534713799,47.88,-31.68,18.49,89,92,2.59
430,San Ramon,NI,1534708800,82.4,12.92,-85.84,54,40,4.7
431,Polazna,RU,1534710600,42.8,58.29,56.41,93,32,4.47
432,Aden,YE,1534713800,80.1,12.79,45.03,83,64,10.87
433,Evensk,RU,1534713800,54.45,61.92,159.24,93,8,21.05
434,Cervo,BR,1534708800,75.2,-22.19,-46.24,38,20,6.93
435,Tabou,CI,1534713801,78.21,4.42,-7.36,99,64,12.44
436,Ponta Delgada,PT,1534712400,73.4,37.73,-25.67,78,20,10.29
437,Carmen,PH,1534713802,68.67,7.2,124.8,94,20,2.82
438,Ilulissat,GL,1534711800,44.6,69.22,-51.1,56,75,2.24
439,Tubuala,PA,1534708800,80.6,9.52,-79.03,78,75,4.16
440,Bokovskaya,RU,1534713803,56.61,49.23,41.83,53,0,5.5
441,Pangnirtung,CA,1534708800,53.6,66.15,-65.72,62,40,2.24
442,Tarata,PE,1534713803,54,-17.47,-70.03,47,0,2.15
443,Nuuk,GL,1534711800,46.4,64.17,-51.74,87,75,8.05
444,Grindavik,IS,1534712400,50,63.84,-22.43,87,90,11.41
445,Oron,NG,1534713804,72.99,4.81,8.23,100,92,3.71
446,Bouna,CI,1534713805,73.08,9.27,-3,92,64,5.5
447,Umm Lajj,SA,1534713805,82.17,25.02,37.27,93,0,2.93
448,Hibbing,US,1534710900,73.4,47.43,-92.94,73,1,4.05
449,Halifax,CA,1534708800,71.6,44.65,-63.58,64,75,10.29
450,Mbulu,TZ,1534713806,62.1,-3.86,35.54,79,44,10.76
451,Nokha,IN,1534713806,79.65,27.56,73.47,95,64,6.73
452,Salinopolis,BR,1534713807,81.45,-0.61,-47.36,92,8,17.13
453,Onguday,RU,1534713807,52.65,50.75,86.14,100,92,2.04
454,Starkville,US,1534710900,87.19,33.45,-88.82,58,40,4.7
455,Lusambo,CD,1534713807,78.57,-4.97,23.44,50,12,2.48
456,Destin,US,1534712640,82.18,30.39,-86.5,74,20,7.96
457,Lavumisa,ZA,1534713808,56.25,-27.31,31.88,80,0,5.61
458,Beringovskiy,RU,1534713808,51.84,63.05,179.32,95,12,15.46
459,Murray Bridge,AU,1534713809,50.04,-35.12,139.28,91,80,8.75
460,Shahreza,IR,1534713809,52.83,32.01,51.87,43,0,2.37
462,Saldanha,PT,1534713810,73.44,41.42,-6.55,32,0,8.97
463,Meulaboh,ID,1534713810,78.66,4.14,96.13,100,92,8.19
464,Naifaru,MV,1534713810,82.71,5.44,73.37,99,88,17.69
465,Salvador,BR,1534712400,77,-12.98,-38.48,78,75,8.05
466,Samdari,IN,1534713811,80.82,25.81,72.58,85,48,10.2
467,Nargana,PA,1534713811,80.82,9.44,-78.59,100,80,5.73
468,Luanda,AO,1534708800,71.6,-8.83,13.24,88,75,4.7
469,Bensonville,LR,1534710600,75.2,6.45,-10.61,94,75,5.82
470,Mezen,RU,1534713812,58.86,65.85,44.24,100,92,2.93
471,Bako,NG,1534713813,72.18,9.68,6.4,96,48,2.93
472,Ayan,TR,1534713813,51.39,40.67,33.6,76,0,2.15
473,Beyneu,KZ,1534713813,67.77,45.32,55.19,67,80,4.16
474,Bosaso,SO,1534713814,87.48,11.28,49.18,85,12,2.93
475,Wuda,CN,1534713814,58.5,39.5,106.72,91,12,2.59
476,Batemans Bay,AU,1534713814,46.62,-35.71,150.18,91,0,12.55
477,Paamiut,GL,1534713815,42.84,61.99,-49.67,99,44,5.06
478,Dharampur,IN,1534713815,70.38,30.9,77.02,92,24,2.37
479,Tupelo,US,1534711980,84.2,34.26,-88.7,70,75,5.82
480,Acari,BR,1534713816,78.3,-6.44,-36.64,48,0,13.11
481,Komarno,UA,1534712400,62.6,49.63,23.7,93,0,2.24
482,Wuwei,CN,1534713816,56.7,37.93,102.64,77,36,2.82
483,Usta Muhammad,PK,1534713817,89.82,28.18,68.05,67,0,6.29
484,Baffa,PK,1534713817,68.22,34.44,73.22,90,8,2.93
485,Williams Lake,CA,1534708800,71.6,52.13,-122.14,28,75,9.17
486,Moscow,RU,1534710600,65.3,55.75,37.62,82,0,4.47
488,Port Macquarie,AU,1534712400,50,-31.43,152.91,37,0,16.11
489,Agadez,NE,1534713818,80.82,16.97,7.99,47,0,3.71
490,Telimele,GN,1534713819,69.57,10.9,-13.03,98,92,3.04
491,Swan Hill,AU,1534713819,36.27,-35.34,143.56,95,0,4.16
492,Pauini,BR,1534713819,93.15,-7.71,-67,42,24,4.16
493,Havre-Saint-Pierre,CA,1534708800,66.2,50.23,-63.6,52,1,8.05
494,Pimentel,BR,1534713820,86.58,-3.7,-45.5,49,8,4.38
495,Ejido,VE,1534712400,80.6,8.55,-71.24,51,20,0.92
496,Bahia Blanca,AR,1534713821,49.59,-38.72,-62.27,59,36,9.64
497,Hasaki,JP,1534710600,67.05,35.73,140.83,83,75,10.29
500,Lata,IN,1534713822,59.13,30.78,78.62,100,36,1.7
501,Lenti,HU,1534712400,69.24,46.62,16.54,77,0,3.36
502,Cabo San Lucas,MX,1534711980,91.47,22.89,-109.91,55,5,11.41
503,Marawi,PH,1534713823,64.44,8,124.29,98,68,2.37
504,Goure,NE,1534713823,72,13.98,10.27,91,20,6.17
505,Necochea,AR,1534713823,45.27,-38.55,-58.74,78,92,12.66
506,Freeport,BS,1534708800,87.8,26.54,-78.7,70,75,5.95
507,Kelvington,CA,1534713824,68.31,52.16,-103.52,44,12,10.54
508,Cusuna,HN,1534713824,80.82,15.85,-85.23,80,64,2.37
509,Corn Island,NI,1534713825,83.25,12.17,-83.04,99,12,13
510,Khandyga,RU,1534713825,61.2,62.65,135.58,85,0,2.59
511,Waingapu,ID,1534713825,65.34,-9.65,120.26,90,0,7.4
513,Carmaux,FR,1534712400,68,44.05,2.16,56,0,8.05
514,Cerritos,US,1534712280,85.53,33.86,-118.05,61,1,11.41
515,Khon Kaen,TH,1534712400,78.8,16.43,102.84,83,40,6.93
516,Mishelevka,RU,1534713827,50.22,52.86,103.17,84,0,2.37
517,Alta Floresta,BR,1534713827,83.7,-9.87,-56.08,67,56,2.93
518,Dinghai,CN,1534708800,80.6,26.28,119.79,88,20,2.24
519,Chapadinha,BR,1534713828,87.03,-3.74,-43.35,43,0,5.28
521,Doha,QA,1534710600,95,25.29,51.53,24,0,5.82
522,Batagay-Alyta,RU,1534713829,47.7,67.8,130.41,84,0,3.94
523,Virginia Beach,US,1534713300,83.55,36.85,-75.98,42,75,10.29
524,Yuksekova,TR,1534708800,71.6,37.57,44.29,49,40,35.57
525,Megion,RU,1534710600,42.8,61.04,76.11,93,0,4.47
526,Myitkyina,MM,1534713830,73.44,25.38,97.4,100,92,0.69
527,Ulladulla,AU,1534708800,42.8,-35.36,150.48,52,0,13.87
528,Romanovskaya,RU,1534713831,61.74,47.54,42.02,49,0,8.75
529,Bloemhof,ZA,1534713831,52.65,-27.65,25.61,85,0,10.09
530,Puerto Escondido,MX,1534711260,87.8,15.86,-97.07,66,40,11.41
531,Progreso,UY,1534712400,49.37,-34.68,-56.22,61,40,8.05
532,Paracatu,BR,1534713724,77.31,-17.22,-46.87,47,48,4.83
534,High Rock,BS,1534708800,87.8,26.63,-78.28,70,75,8.75
536,Gwadar,PK,1534713833,78.93,25.12,62.33,100,88,6.17
538,Biak,ID,1534713834,74.34,-0.91,122.88,99,20,6.06
539,Margate,AU,1534712400,37.4,-43.03,147.26,74,75,8.05
540,Pemberton,AU,1534713835,45.99,-34.44,116.03,77,0,9.31
542,Ambon,FR,1534712400,66.2,47.55,-2.56,88,0,5.82
544,Mbandaka,CD,1534713836,72.72,0.05,18.26,93,68,2.48
545,Sioux City,US,1534713300,67.96,42.5,-96.41,94,90,5.82
546,Alugan,PH,1534713837,79.2,12.22,125.48,100,20,11.43
547,Staryy Nadym,RU,1534713837,45.72,65.61,72.68,92,0,7.96
548,Walvis Bay,NA,1534713837,55.26,-22.95,14.51,100,44,4.61
549,Hay River,CA,1534708800,62.6,60.82,-115.79,63,75,10.29
550,Boma,NG,1534713838,72,11.23,4.46,95,24,2.93
551,Sharjah,AE,1534712400,92.55,25.36,55.39,67,0,6.93
552,Muramatsu,JP,1534713839,60.12,37.68,139.18,85,20,2.93
553,Port-Cartier,CA,1534708800,66.2,50.03,-66.88,48,75,6.93
554,Sao Joao da Barra,BR,1534712400,71.6,-21.64,-41.05,78,0,11.41
555,Hofn,IS,1534713840,50.67,64.25,-15.21,95,68,4.83
556,Riyadh,SA,1534712400,89.6,24.63,46.72,9,0,3.36
557,Baloda Bazar,IN,1534713840,73.8,21.65,82.17,98,76,4.61
558,Zyryanka,RU,1534713841,45.72,65.73,150.89,75,88,4.16
559,Heyang,CN,1534713841,64.89,26.1,107.47,95,20,2.37
560,Birin,SY,1534713841,67.5,35.01,36.67,96,8,6.96
561,Herat,AF,1534712100,78.8,34.35,62.22,12,0,3.36
562,Grand Gaube,MU,1534708800,71.6,-20.01,57.66,68,20,17.22
563,Dzilam Gonzalez,MX,1534713842,79.65,21.28,-88.93,96,32,6.17
564,Pasinler,TR,1534711800,59,39.98,41.67,72,40,14.99
565,Tacoronte,ES,1534712400,69.33,28.48,-16.41,82,75,18.34
566,Bilibino,RU,1534713843,35.37,68.06,166.44,86,88,3.6
567,Macherla,IN,1534713843,79.02,16.48,79.44,74,92,17.02
568,Itarema,BR,1534713844,84.42,-2.92,-39.92,48,0,16.69
569,Saint-Augustin,FR,1534712400,67.01,44.83,-0.61,64,0,3.36
572,Filingue,NE,1534713845,71.64,14.35,3.32,100,92,8.63
573,Maicao,CO,1534713674,90.18,11.38,-72.24,58,0,15.57
574,Wajir,KE,1534713846,80.37,1.75,40.07,51,76,14.67
576,Kieta,PG,1534713846,76.77,-6.22,155.63,100,36,3.49
578,Sarlat-la-Caneda,FR,1534712400,71.47,44.89,1.22,49,0,5.82
579,Kloulklubed,PW,1534711800,78.8,7.04,134.26,88,90,6.93
580,Ipero,BR,1534713847,72.45,-23.35,-47.69,40,0,2.93
581,Ramsgate,AU,1534712400,46.4,-33.98,151.14,45,0,19.46
583,Pisco,PE,1534712400,62.6,-13.71,-76.2,82,90,8.05
584,Springdale,US,1534713000,81.21,36.19,-94.13,78,75,12.75
585,Straza,RS,1534712400,68,44.97,21.3,77,0,4.7
586,Santiago de Cao,PE,1534712400,66.2,-7.96,-79.24,77,20,11.41
587,Banda Aceh,ID,1534713850,74.52,5.56,95.32,98,88,3.6
589,Kinablangan,PH,1534713850,80.28,7.69,126.55,100,20,5.06
590,Pathein,MM,1534713851,77.94,16.78,94.73,96,92,10.98
591,Sheffield,GB,1534711800,63.81,53.38,-1.47,82,75,8.05
592,Nieves,MX,1534713851,80.73,24,-103.02,66,12,8.63
593,Forbes,AU,1534713852,37.17,-33.38,148.01,83,0,11.1
594,Chegdomyn,RU,1534713852,54.54,51.13,133.04,98,92,3.04
595,Saint Anthony,US,1534712160,80.62,43.97,-111.68,22,1,6.93
596,Xining,CN,1534713853,47.43,36.62,101.77,100,44,2.59
597,Qaracala,AZ,1534713853,78.12,39.81,48.95,71,100,8.75
